t,x,v
0.607,0.161041,-0.117927
0.608,0.160918,-0.122915
0.609,0.16079,-0.127916
0.61,0.160657,-0.132927
0.611,0.160519,-0.13795
0.612,0.160376,-0.142984
0.613,0.160228,-0.148029
0.614,0.160075,-0.153084
0.615,0.159917,-0.15815
0.616,0.159754,-0.163226
0.617,0.159586,-0.168312
0.618,0.159412,-0.173408
0.619,0.159234,-0.178514
0.62,0.15905,-0.18363
0.621,0.158861,-0.188756
0.622,0.158667,-0.19389
0.623,0.158468,-0.199034
0.624,0.158264,-0.204187
0.625,0.158055,-0.209348
0.626,0.15784,-0.214519
0.627,0.157621,-0.219697
0.628,0.157396,-0.224885
0.629,0.157166,-0.23008
0.63,0.15693,-0.235283
0.631,0.15669,-0.240494
0.632,0.156444,-0.245712
0.633,0.156193,-0.250938
0.634,0.155937,-0.256172
0.635,0.155676,-0.261412
0.636,0.155409,-0.266659
0.637,0.155137,-0.271913
0.638,0.15486,-0.277173
0.639,0.154578,-0.28244
0.64,0.15429,-0.287713
0.641,0.153997,-0.292992
0.642,0.153699,-0.298277
0.643,0.153395,-0.303567
0.644,0.153086,-0.308863
0.645,0.152772,-0.314164
0.646,0.152453,-0.319471
0.647,0.152128,-0.324782
0.648,0.151798,-0.330098
0.649,0.151462,-0.335418
0.65,0.151121,-0.340743
0.651,0.150775,-0.346071
0.652,0.150424,-0.351404
0.653,0.150067,-0.356741
0.654,0.149705,-0.362081
0.655,0.149338,-0.367424
0.656,0.148965,-0.372771
0.657,0.148587,-0.378121
0.658,0.148203,-0.383473
0.659,0.147815,-0.388829
0.66,0.14742,-0.394186
0.661,0.147021,-0.399546
0.662,0.146616,-0.404908
0.663,0.146206,-0.410272
0.664,0.14579,-0.415638
0.665,0.145369,-0.421005
0.666,0.144943,-0.426373
0.667,0.144511,-0.431742
0.668,0.144074,-0.437113
0.669,0.143631,-0.442484
0.67,0.143183,-0.447855
0.671,0.14273,-0.453227
0.672,0.142272,-0.458599
0.673,0.141808,-0.463971
0.674,0.141338,-0.469342
0.675,0.140864,-0.474713
0.676,0.140383,-0.480084
0.677,0.139898,-0.485453
0.678,0.139407,-0.490822
0.679,0.138911,-0.496189
0.68,0.138409,-0.501555
0.681,0.137903,-0.506919
0.682,0.13739,-0.512281
0.683,0.136873,-0.517641
0.684,0.13635,-0.522999
0.685,0.135821,-0.528354
0.686,0.135288,-0.533707
0.687,0.134749,-0.539057
0.688,0.134204,-0.544404
0.689,0.133654,-0.549747
0.69,0.133099,-0.555087
0.691,0.132539,-0.560424
0.692,0.131973,-0.565756
0.693,0.131402,-0.571084
0.694,0.130826,-0.576409
0.695,0.130244,-0.581728
0.696,0.129657,-0.587043
0.697,0.129064,-0.592353
0.698,0.128467,-0.597658
0.699,0.127864,-0.602958
0.7,0.127256,-0.608252
0.701,0.126642,-0.61354
0.702,0.126023,-0.618823
0.703,0.125399,-0.624099
0.704,0.12477,-0.629369
0.705,0.124135,-0.634633
0.706,0.123495,-0.63989
0.707,0.12285,-0.645139
0.708,0.1222,-0.650382
0.709,0.121544,-0.655617
0.71,0.120883,-0.660845
0.711,0.120217,-0.666065
0.712,0.119546,-0.671277
0.713,0.118869,-0.676481
0.714,0.118188,-0.681677
0.715,0.117501,-0.686864
0.716,0.116809,-0.692042
0.717,0.116112,-0.697211
0.718,0.115409,-0.702371
0.719,0.114702,-0.707522
0.72,0.113989,-0.712663
0.721,0.113271,-0.717794
0.722,0.112548,-0.722915
0.723,0.11182,-0.728026
0.724,0.111087,-0.733126
0.725,0.110349,-0.738216
0.726,0.109606,-0.743295
0.727,0.108857,-0.748363
0.728,0.108104,-0.75342
0.729,0.107345,-0.758465
0.73,0.106582,-0.763498
0.731,0.105813,-0.76852
0.732,0.10504,-0.77353
0.733,0.104261,-0.778527
0.734,0.103478,-0.783512
0.735,0.102689,-0.788484
0.736,0.101896,-0.793443
0.737,0.101098,-0.798389
0.738,0.100294,-0.803322
0.739,0.099486,-0.808241
0.74,0.0986729,-0.813146
0.741,0.0978548,-0.818038
0.742,0.0970319,-0.822916
0.743,0.0962041,-0.827779
0.744,0.0953715,-0.832627
0.745,0.0945341,-0.837461
0.746,0.0936918,-0.84228
0.747,0.0928447,-0.847084
0.748,0.0919928,-0.851872
0.749,0.0911362,-0.856645
0.75,0.0902748,-0.861402
0.751,0.0894086,-0.866143
0.752,0.0885378,-0.870868
0.753,0.0876622,-0.875577
0.754,0.0867819,-0.880269
0.755,0.085897,-0.884944
0.756,0.0850074,-0.889602
0.757,0.0841131,-0.894244
0.758,0.0832143,-0.898867
0.759,0.0823108,-0.903473
0.76,0.0814027,-0.908062
0.761,0.0804901,-0.912632
0.762,0.0795729,-0.917185
0.763,0.0786512,-0.921718
0.764,0.077725,-0.926234
0.765,0.0767942,-0.93073
0.766,0.075859,-0.935208
0.767,0.0749193,-0.939666
0.768,0.0739752,-0.944105
0.769,0.0730267,-0.948525
0.77,0.0720738,-0.952924
0.771,0.0711165,-0.957304
0.772,0.0701548,-0.961664
0.773,0.0691888,-0.966003
0.774,0.0682185,-0.970322
0.775,0.0672439,-0.97462
0.776,0.066265,-0.978897
0.777,0.0652818,-0.983152
0.778,0.0642944,-0.987387
0.779,0.0633028,-0.9916
0.78,0.0623071,-0.995791
0.781,0.0613071,-0.999961
0.782,0.060303,-1.00411
0.783,0.0592948,-1.00823
0.784,0.0582824,-1.01234
0.785,0.057266,-1.01642
0.786,0.0562455,-1.02047
0.787,0.055221,-1.02451
0.788,0.0541925,-1.02852
0.789,0.05316,-1.03251
0.79,0.0521235,-1.03647
0.791,0.0510831,-1.04041
0.792,0.0500388,-1.04433
0.793,0.0489906,-1.04822
0.794,0.0479385,-1.05208
0.795,0.0468826,-1.05593
0.796,0.0458228,-1.05975
0.797,0.0447593,-1.06354
0.798,0.043692,-1.06731
0.799,0.0426209,-1.07105
0.8,0.0415462,-1.07477
0.801,0.0404677,-1.07846
0.802,0.0393856,-1.08213
0.803,0.0382998,-1.08577
0.804,0.0372104,-1.08938
0.805,0.0361175,-1.09297
0.806,0.0350209,-1.09653
0.807,0.0339209,-1.10006
0.808,0.0328173,-1.10357
0.809,0.0317102,-1.10705
0.81,0.0305997,-1.1105
0.811,0.0294858,-1.11393
0.812,0.0283685,-1.11733
0.813,0.0272478,-1.1207
0.814,0.0261238,-1.12404
0.815,0.0249964,-1.12735
0.816,0.0238658,-1.13064
0.817,0.0227319,-1.1339
0.818,0.0215947,-1.13713
0.819,0.0204544,-1.14033
0.82,0.0193109,-1.1435
0.821,0.0181643,-1.14664
0.822,0.0170145,-1.14975
0.823,0.0158617,-1.15283
0.824,0.0147058,-1.15589
0.825,0.0135469,-1.15891
0.826,0.012385,-1.16191
0.827,0.0112201,-1.16487
0.828,0.0100523,-1.1678
0.829,0.00888162,-1.17071
0.83,0.00770804,-1.17358
0.831,0.00653162,-1.17642
0.832,0.00535239,-1.17923
0.833,0.00417038,-1.18201
0.834,0.00298562,-1.18476
0.835,0.00179815,-1.18747
0.836,0.000607987,-1.19016
0.837,-0.000584826,-1.19281
0.838,-0.00178026,-1.19544
0.839,-0.00297829,-1.19803
0.84,-0.00417887,-1.20058
0.841,-0.00538198,-1.20311
0.842,-0.00658758,-1.2056
0.843,-0.00779564,-1.20806
0.844,-0.00900613,-1.21049
0.845,-0.010219,-1.21288
0.846,-0.0114343,-1.21525
0.847,-0.0126518,-1.21757
0.848,-0.0138717,-1.21987
0.849,-0.0150938,-1.22213
0.85,-0.0163182,-1.22436
0.851,-0.0175447,-1.22655
0.852,-0.0187735,-1.22871
0.853,-0.0200043,-1.23084
0.854,-0.0212372,-1.23293
0.855,-0.0224722,-1.23499
0.856,-0.0237092,-1.23701
0.857,-0.0249482,-1.239
0.858,-0.0261892,-1.24095
0.859,-0.027432,-1.24287
0.86,-0.0286768,-1.24476
0.861,-0.0299234,-1.2466
0.862,-0.0311718,-1.24842
0.863,-0.032422,-1.2502
0.864,-0.033674,-1.25194
0.865,-0.0349276,-1.25364
0.866,-0.0361829,-1.25532
0.867,-0.0374399,-1.25695
0.868,-0.0386984,-1.25855
0.869,-0.0399585,-1.26011
0.87,-0.0412202,-1.26164
0.871,-0.0424833,-1.26313
0.872,-0.0437479,-1.26458
0.873,-0.0450139,-1.266
0.874,-0.0462813,-1.26738
0.875,-0.04755,-1.26872
0.876,-0.04882,-1.27003
0.877,-0.0500913,-1.2713
0.878,-0.0513638,-1.27253
0.879,-0.0526376,-1.27373
0.88,-0.0539124,-1.27488
0.881,-0.0551885,-1.276
0.882,-0.0564655,-1.27709
0.883,-0.0577437,-1.27813
0.884,-0.0590228,-1.27914
0.885,-0.0603029,-1.2801
0.886,-0.0615839,-1.28103
0.887,-0.0628659,-1.28193
0.888,-0.0641486,-1.28278
0.889,-0.0654322,-1.2836
0.89,-0.0667166,-1.28437
0.891,-0.0680017,-1.28511
0.892,-0.0692875,-1.28581
0.893,-0.070574,-1.28647
0.894,-0.0718611,-1.28709
0.895,-0.0731488,-1.28768
0.896,-0.074437,-1.28822
0.897,-0.0757257,-1.28873
0.898,-0.0770149,-1.28919
0.899,-0.0783045,-1.28962
0.9,-0.0795945,-1.29
0.901,-0.0808849,-1.29035
0.902,-0.0821755,-1.29066
0.903,-0.0834665,-1.29093
0.904,-0.0847576,-1.29115
0.905,-0.086049,-1.29134
0.906,-0.0873405,-1.29149
0.907,-0.0886321,-1.2916
0.908,-0.0899237,-1.29167
0.909,-0.0912154,-1.2917
0.91,-0.0925071,-1.29168
0.911,-0.0937987,-1.29163
0.912,-0.0950903,-1.29154
0.913,-0.0963817,-1.29141
0.914,-0.0976729,-1.29123
0.915,-0.0989639,-1.29102
0.916,-0.100255,-1.29076
