t,x,v
0.669,0.144307,-0.444507
0.67,0.143857,-0.449917
0.671,0.143402,-0.455326
0.672,0.142941,-0.460737
0.673,0.142475,-0.466147
0.674,0.142003,-0.471557
0.675,0.141527,-0.476966
0.676,0.141044,-0.482375
0.677,0.140556,-0.487784
0.678,0.140063,-0.493191
0.679,0.139565,-0.498597
0.68,0.139061,-0.504002
0.681,0.138551,-0.509405
0.682,0.138036,-0.514806
0.683,0.137516,-0.520206
0.684,0.136991,-0.525603
0.685,0.13646,-0.530998
0.686,0.135923,-0.53639
0.687,0.135381,-0.541779
0.688,0.134834,-0.547166
0.689,0.134282,-0.552549
0.69,0.133724,-0.557929
0.691,0.13316,-0.563305
0.692,0.132592,-0.568678
0.693,0.132018,-0.574046
0.694,0.131438,-0.579411
0.695,0.130854,-0.58477
0.696,0.130263,-0.590126
0.697,0.129668,-0.595476
0.698,0.129067,-0.600821
0.699,0.128461,-0.606161
0.7,0.127849,-0.611496
0.701,0.127233,-0.616825
0.702,0.12661,-0.622148
0.703,0.125983,-0.627465
0.704,0.12535,-0.632776
0.705,0.124712,-0.63808
0.706,0.124069,-0.643378
0.707,0.12342,-0.648669
0.708,0.122766,-0.653953
0.709,0.122107,-0.659229
0.71,0.121442,-0.664498
0.711,0.120773,-0.669759
0.712,0.120098,-0.675012
0.713,0.119417,-0.680257
0.714,0.118732,-0.685494
0.715,0.118041,-0.690722
0.716,0.117345,-0.695942
0.717,0.116644,-0.701152
0.718,0.115938,-0.706354
0.719,0.115226,-0.711546
0.72,0.114509,-0.716728
0.721,0.113788,-0.721901
0.722,0.113061,-0.727063
0.723,0.112328,-0.732216
0.724,0.111591,-0.737358
0.725,0.110848,-0.742489
0.726,0.110101,-0.74761
0.727,0.109348,-0.752719
0.728,0.10859,-0.757817
0.729,0.107827,-0.762904
0.73,0.107059,-0.767979
0.731,0.106286,-0.773042
0.732,0.105508,-0.778094
0.733,0.104725,-0.783133
0.734,0.103937,-0.788159
0.735,0.103144,-0.793173
0.736,0.102346,-0.798174
0.737,0.101542,-0.803161
0.738,0.100734,-0.808136
0.739,0.0999212,-0.813097
0.74,0.0991032,-0.818044
0.741,0.0982802,-0.822977
0.742,0.0974523,-0.827896
0.743,0.0966195,-0.832801
0.744,0.0957818,-0.837691
0.745,0.0949393,-0.842566
0.746,0.0940918,-0.847427
0.747,0.0932396,-0.852272
0.748,0.0923825,-0.857102
0.749,0.0915206,-0.861916
0.75,0.0906538,-0.866715
0.751,0.0897823,-0.871497
0.752,0.0889061,-0.876264
0.753,0.0880251,-0.881014
0.754,0.0871393,-0.885747
0.755,0.0862489,-0.890464
0.756,0.0853537,-0.895163
0.757,0.0844538,-0.899845
0.758,0.0835493,-0.90451
0.759,0.0826402,-0.909158
0.76,0.0817264,-0.913787
0.761,0.080808,-0.918399
0.762,0.079885,-0.922992
0.763,0.0789574,-0.927567
0.764,0.0780253,-0.932123
0.765,0.0770887,-0.93666
0.766,0.0761475,-0.941178
0.767,0.0752018,-0.945677
0.768,0.0742516,-0.950157
0.769,0.073297,-0.954617
0.77,0.072338,-0.959057
0.771,0.0713745,-0.963477
0.772,0.0704066,-0.967877
0.773,0.0694344,-0.972257
0.774,0.0684577,-0.976616
0.775,0.0674768,-0.980954
0.776,0.0664915,-0.985271
0.777,0.0655019,-0.989567
0.778,0.0645081,-0.993841
0.779,0.06351,-0.998094
0.78,0.0625077,-1.00233
0.781,0.0615011,-1.00653
0.782,0.0604904,-1.01072
0.783,0.0594755,-1.01489
0.784,0.0584565,-1.01903
0.785,0.0574334,-1.02315
0.786,0.0564061,-1.02724
0.787,0.0553748,-1.03132
0.788,0.0543394,-1.03537
0.789,0.0533,-1.03939
0.79,0.0522567,-1.04339
0.791,0.0512093,-1.04737
0.792,0.050158,-1.05133
0.793,0.0491027,-1.05526
0.794,0.0480435,-1.05916
0.795,0.0469805,-1.06305
0.796,0.0459136,-1.0669
0.797,0.0448429,-1.07073
0.798,0.0437683,-1.07454
0.799,0.04269,-1.07832
0.8,0.0416079,-1.08207
0.801,0.0405221,-1.0858
0.802,0.0394326,-1.08951
0.803,0.0383394,-1.09318
0.804,0.0372426,-1.09683
0.805,0.0361421,-1.10046
0.806,0.0350381,-1.10406
0.807,0.0339304,-1.10763
0.808,0.0328193,-1.11117
0.809,0.0317046,-1.11469
